date_time,shop_name,sold_count,favorites,review_score,review_count,listing_active_count
2022-08-31 00:30:02.493834,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 00:30:02.751831,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 00:30:02.984737,Botanicaz,46782,25044,4.907,8082,488
2022-08-31 00:30:03.267762,YourPlantBitch,10700,2738,4.3064,1472,294
2022-08-31 00:30:03.508679,PremierAesthetic,412,220,4.8659,179,65
2022-08-31 00:30:03.738072,PlantedPortland,12517,4029,4.7497,5106,161
2022-08-31 00:30:03.991149,MyPlantObsession,61522,9712,4.9031,4893,191
2022-08-31 00:30:04.242779,305Greenery,829,998,4.8871,248,302
2022-08-31 00:30:04.472874,WellspringGardens,72237,10498,4.7049,3114,243
2022-08-31 00:30:04.697069,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 00:30:04.932253,coollectiveplants,5708,1732,4.8747,1277,56
2022-08-31 00:30:05.186842,HirtsGardens,302907,42446,4.8334,18970,872
2022-08-31 00:30:05.421804,lazygardens,30480,6387,4.9202,927,188
2022-08-31 00:30:05.669364,FloridaPlantsGardens,84437,16080,4.8569,8576,174
2022-08-31 00:30:05.978506,TheGreenEscape,107489,22486,4.8425,26729,511
2022-08-31 01:00:01.724270,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 01:00:01.950611,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 01:00:02.232377,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 01:00:02.482379,Botanicaz,46784,25044,4.907,8082,486
2022-08-31 01:00:02.704567,YourPlantBitch,10700,2738,4.3064,1472,294
2022-08-31 01:00:03.002117,PremierAesthetic,412,220,4.8659,179,65
2022-08-31 01:00:03.283775,PlantedPortland,12519,4029,4.7497,5106,161
2022-08-31 01:00:03.605785,MyPlantObsession,61522,9712,4.9031,4893,191
2022-08-31 01:00:03.891351,305Greenery,829,998,4.8871,248,302
2022-08-31 01:00:04.127648,WellspringGardens,72237,10498,4.7049,3114,243
2022-08-31 01:00:04.365080,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 01:00:04.609428,coollectiveplants,5709,1733,4.8747,1277,56
2022-08-31 01:00:04.861988,HirtsGardens,302908,42446,4.8334,18970,872
2022-08-31 01:00:05.096328,lazygardens,30480,6387,4.9202,927,188
2022-08-31 01:00:05.347008,FloridaPlantsGardens,84437,16080,4.8566,8578,174
2022-08-31 01:00:05.698751,TheGreenEscape,107489,22486,4.8424,26732,511
2022-08-31 01:30:02.449523,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 01:30:02.677768,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 01:30:02.906565,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 01:30:03.184769,Botanicaz,46784,25044,4.907,8082,486
2022-08-31 01:30:03.390098,YourPlantBitch,10700,2738,4.3064,1472,294
2022-08-31 01:30:03.622945,PremierAesthetic,412,220,4.8659,179,65
2022-08-31 01:30:03.850051,PlantedPortland,12520,4031,4.7497,5106,161
2022-08-31 01:30:04.077695,MyPlantObsession,61522,9712,4.9031,4893,191
2022-08-31 01:30:04.330716,305Greenery,829,998,4.8871,248,302
2022-08-31 01:30:04.556665,WellspringGardens,72238,10498,4.7051,3116,243
2022-08-31 01:30:04.789691,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 01:30:05.010233,coollectiveplants,5709,1733,4.8747,1277,56
2022-08-31 01:30:05.247624,HirtsGardens,302908,42446,4.8334,18970,872
2022-08-31 01:30:05.486695,lazygardens,30480,6387,4.9202,927,188
2022-08-31 01:30:05.734698,FloridaPlantsGardens,84437,16080,4.8566,8578,174
2022-08-31 01:30:06.073651,TheGreenEscape,107489,22486,4.8424,26732,511
2022-08-31 02:00:01.861486,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 02:00:02.093092,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 02:00:02.365673,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 02:00:02.658956,Botanicaz,46785,25044,4.907,8082,485
2022-08-31 02:00:02.943437,YourPlantBitch,10701,2738,4.3064,1472,294
2022-08-31 02:00:03.231130,PremierAesthetic,412,220,4.8659,179,65
2022-08-31 02:00:03.614693,PlantedPortland,12520,4032,4.7497,5106,161
2022-08-31 02:00:03.824481,MyPlantObsession,61523,9712,4.9031,4893,191
2022-08-31 02:00:04.049362,305Greenery,829,998,4.8871,248,302
2022-08-31 02:00:04.273948,WellspringGardens,72238,10498,4.7051,3116,243
2022-08-31 02:00:04.512904,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 02:00:04.752783,coollectiveplants,5709,1733,4.8747,1277,56
2022-08-31 02:00:04.974394,HirtsGardens,302908,42446,4.8334,18970,872
2022-08-31 02:00:05.196916,lazygardens,30480,6387,4.9202,927,188
2022-08-31 02:00:05.419252,FloridaPlantsGardens,84437,16081,4.8566,8578,174
2022-08-31 02:00:05.741902,TheGreenEscape,107499,22487,4.8424,26732,511
2022-08-31 02:30:02.499073,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 02:30:03.822703,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 02:30:04.069744,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 02:30:04.318286,Botanicaz,46785,25044,4.907,8082,485
2022-08-31 02:30:04.575592,YourPlantBitch,10701,2738,4.3064,1472,294
2022-08-31 02:30:04.836014,PremierAesthetic,413,220,4.8659,179,65
2022-08-31 02:30:05.062959,PlantedPortland,12521,4032,4.7497,5106,160
2022-08-31 02:30:05.344597,MyPlantObsession,61523,9712,4.9031,4893,191
2022-08-31 02:30:05.592124,305Greenery,829,998,4.8871,248,302
2022-08-31 02:30:05.852993,WellspringGardens,72238,10498,4.7051,3116,243
2022-08-31 02:30:06.110572,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 02:30:06.340610,coollectiveplants,5712,1734,4.8747,1277,56
2022-08-31 02:30:06.599363,HirtsGardens,302909,42446,4.8334,18970,872
2022-08-31 02:30:06.854777,lazygardens,30480,6387,4.9202,927,188
2022-08-31 02:30:07.098672,FloridaPlantsGardens,84438,16081,4.8566,8578,174
2022-08-31 02:30:07.440422,TheGreenEscape,107504,22489,4.8423,26733,511
2022-08-31 03:00:02.203130,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 03:00:02.466709,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 03:00:02.815680,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 03:00:03.065140,Botanicaz,46785,25044,4.907,8082,485
2022-08-31 03:00:03.298127,YourPlantBitch,10701,2738,4.3064,1472,294
2022-08-31 03:00:03.606255,PremierAesthetic,413,220,4.8659,179,65
2022-08-31 03:00:03.881236,PlantedPortland,12521,4032,4.7497,5106,160
2022-08-31 03:00:04.123255,MyPlantObsession,61528,9712,4.9031,4893,190
2022-08-31 03:00:04.353142,305Greenery,829,998,4.8871,248,302
2022-08-31 03:00:04.594580,WellspringGardens,72238,10498,4.7051,3116,243
2022-08-31 03:00:04.875518,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 03:00:05.134068,coollectiveplants,5712,1735,4.8747,1277,56
2022-08-31 03:00:05.377180,HirtsGardens,302913,42446,4.8334,18970,872
2022-08-31 03:00:05.639990,lazygardens,30480,6387,4.9202,927,188
2022-08-31 03:00:05.862955,FloridaPlantsGardens,84439,16081,4.8566,8578,174
2022-08-31 03:00:06.184036,TheGreenEscape,107505,22489,4.8423,26733,510
2022-08-31 03:30:01.919715,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 03:30:02.146816,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 03:30:02.396395,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 03:30:02.637821,Botanicaz,46786,25045,4.907,8082,484
2022-08-31 03:30:02.861028,YourPlantBitch,10701,2738,4.3069,1473,294
2022-08-31 03:30:03.166809,PremierAesthetic,413,220,4.8659,179,65
2022-08-31 03:30:03.427358,PlantedPortland,12521,4032,4.7497,5106,160
2022-08-31 03:30:03.653785,MyPlantObsession,61528,9712,4.9031,4893,190
2022-08-31 03:30:04.010843,305Greenery,829,998,4.8871,248,302
2022-08-31 03:30:04.226020,WellspringGardens,72238,10498,4.7051,3116,243
2022-08-31 03:30:04.466384,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 03:30:04.687159,coollectiveplants,5712,1735,4.8747,1277,56
2022-08-31 03:30:04.901880,HirtsGardens,302913,42446,4.8334,18970,872
2022-08-31 03:30:05.119897,lazygardens,30480,6387,4.9202,927,188
2022-08-31 03:30:05.332258,FloridaPlantsGardens,84439,16081,4.8566,8578,174
2022-08-31 03:30:05.660487,TheGreenEscape,107509,22489,4.8423,26733,510
2022-08-31 04:00:02.391382,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 04:00:02.655699,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 04:00:03.069584,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 04:00:03.362493,Botanicaz,46786,25045,4.907,8082,484
2022-08-31 04:00:03.627050,YourPlantBitch,10701,2738,4.3069,1473,294
2022-08-31 04:00:03.952027,PremierAesthetic,413,220,4.8659,179,65
2022-08-31 04:00:04.317465,PlantedPortland,12521,4032,4.7497,5106,160
2022-08-31 04:00:04.600737,MyPlantObsession,61528,9712,4.9031,4893,190
2022-08-31 04:00:04.930945,305Greenery,829,998,4.8871,248,302
2022-08-31 04:00:05.233626,WellspringGardens,72238,10498,4.7051,3116,243
2022-08-31 04:00:05.482531,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 04:00:05.760795,coollectiveplants,5712,1735,4.8747,1277,56
2022-08-31 04:00:06.013523,HirtsGardens,302913,42446,4.8334,18970,872
2022-08-31 04:00:06.275621,lazygardens,30480,6387,4.9202,927,188
2022-08-31 04:00:06.523456,FloridaPlantsGardens,84439,16081,4.8566,8578,174
2022-08-31 04:00:06.885301,TheGreenEscape,107515,22490,4.8423,26733,510
2022-08-31 04:30:02.642845,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 04:30:02.924119,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 04:30:03.241922,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 04:30:03.514436,Botanicaz,46786,25045,4.907,8082,484
2022-08-31 04:30:03.778717,YourPlantBitch,10702,2738,4.3069,1473,294
2022-08-31 04:30:04.078230,PremierAesthetic,414,220,4.8659,179,65
2022-08-31 04:30:04.350477,PlantedPortland,12523,4032,4.7497,5106,160
2022-08-31 04:30:04.613895,MyPlantObsession,61529,9712,4.9031,4893,189
2022-08-31 04:30:04.951363,305Greenery,829,998,4.8871,248,302
2022-08-31 04:30:05.220237,WellspringGardens,72239,10498,4.7051,3116,243
2022-08-31 04:30:05.516971,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 04:30:05.771126,coollectiveplants,5712,1735,4.8747,1277,56
2022-08-31 04:30:06.019289,HirtsGardens,302913,42446,4.8334,18970,872
2022-08-31 04:30:06.269964,lazygardens,30480,6387,4.9202,927,188
2022-08-31 04:30:06.536064,FloridaPlantsGardens,84439,16081,4.8566,8578,174
2022-08-31 04:30:06.887725,TheGreenEscape,107515,22491,4.8423,26733,510
2022-08-31 05:00:02.615094,NurseryRx,1285,1198,4.9464,597,25
